구분,보통휘발유,자동차용경유
2023년08월13일,1720.21,1573.66
2023년08월14일,1724.31,1581.61
2023년08월15일,1728.56,1589.29
2023년08월16일,1731.34,1595.50
2023년08월17일,1734.19,1601.41
2023년08월18일,1736.09,1606.03
2023년08월19일,1737.56,1609.58
2023년08월20일,1738.29,1611.37
2023년08월21일,1739.72,1614.83
2023년08월22일,1741.16,1618.29
2023년08월23일,1742.16,1621.28
2023년08월24일,1742.59,1622.94
2023년08월25일,1742.95,1624.63
2023년08월26일,1743.29,1625.98
2023년08월27일,1743.57,1626.59
2023년08월28일,1744.19,1628.23
2023년08월29일,1745.23,1630.41
2023년08월30일,1745.65,1631.95
2023년08월31일,1746.07,1632.95
2023년09월01일,1747.13,1635.25
2023년09월02일,1747.70,1636.43
2023년09월03일,1748.15,1637.07
2023년09월04일,1748.95,1638.62
2023년09월05일,1749.90,1640.25
2023년09월06일,1750.77,1642.31
2023년09월07일,1752.15,1644.66
2023년09월08일,1753.64,1646.94
2023년09월09일,1755.10,1648.81
2023년09월10일,1756.02,1649.90
2023년09월11일,1757.58,1652.38
2023년09월12일,1759.40,1655.12
2023년09월13일,1761.41,1658.12
2023년09월14일,1763.46,1660.96
2023년09월15일,1766.40,1664.78
2023년09월16일,1769.09,1668.01
2023년09월17일,1770.28,1669.35
2023년09월18일,1772.99,1672.87
2023년09월19일,1776.84,1677.59
2023년09월20일,1779.75,1680.89
2023년09월21일,1781.68,1683.28
2023년09월22일,1783.61,1685.66
2023년09월23일,1785.21,1687.48
2023년09월24일,1786.26,1688.56
2023년09월25일,1788.05,1690.88
2023년09월26일,1789.63,1692.69
2023년09월27일,1791.29,1694.80
2023년09월28일,1793.26,1696.81
2023년09월29일,1794.41,1697.71
2023년09월30일,1794.66,1698.02
2023년10월01일,1795.22,1698.67
2023년10월02일,1796.17,1699.64
2023년10월03일,1796.25,1699.92
2023년10월04일,1796.38,1701.16
2023년10월05일,1795.91,1701.32
2023년10월06일,1793.82,1700.21
2023년10월07일,1791.71,1698.57
2023년10월08일,1790.73,1697.65
2023년10월09일,1790.08,1697.40
2023년10월10일,1789.18,1696.84
2023년10월11일,1786.89,1695.51
2023년10월12일,1784.72,1694.19
2023년10월13일,1781.79,1692.61
2023년10월14일,1779.47,1691.18
2023년10월15일,1778.68,1690.63
2023년10월16일,1777.56,1690.58
2023년10월17일,1775.06,1689.39
2023년10월18일,1772.84,1688.47
2023년10월19일,1771.04,1687.55
2023년10월20일,1769.39,1686.94
2023년10월21일,1767.74,1686.19
2023년10월22일,1767.17,1685.83
2023년10월23일,1766.30,1685.87
2023년10월24일,1764.26,1684.84
2023년10월25일,1761.55,1683.72
2023년10월26일,1758.33,1682.13
2023년10월27일,1754.98,1680.56
2023년10월28일,1752.31,1679.05
2023년10월29일,1751.43,1678.57
2023년10월30일,1749.83,1678.22
2023년10월31일,1747.06,1676.81
2023년11월01일,1742.31,1674.06
2023년11월02일,1738.21,1671.90
2023년11월03일,1733.97,1669.63
2023년11월04일,1730.38,1667.34
2023년11월05일,1728.69,1666.35
2023년11월06일,1725.83,1665.02
2023년11월07일,1721.01,1662.30
2023년11월08일,1715.73,1659.13
2023년11월09일,1709.48,1654.42
2023년11월10일,1703.13,1649.54
2023년11월11일,1697.77,1644.71
2023년11월12일,1695.93,1642.90
2023년11월13일,1691.87,1639.77
2023년11월14일,1685.73,1634.11
2023년11월15일,1680.63,1629.52
2023년11월16일,1676.26,1625.31
2023년11월17일,1672.30,1620.97
2023년11월18일,1668.84,1617.47
2023년11월19일,1667.51,1615.80
2023년11월20일,1664.78,1613.14
2023년11월21일,1659.12,1606.50
2023년11월22일,1656.54,1604.08
2023년11월23일,1652.96,1599.59
2023년11월24일,1649.56,1595.82
2023년11월25일,1647.05,1592.69
2023년11월26일,1645.97,1590.93
2023년11월27일,1643.95,1588.73
2023년11월28일,1641.03,1584.98
2023년11월29일,1638.49,1581.53
2023년11월30일,1636.75,1578.74
2023년12월01일,1634.18,1575.30
2023년12월02일,1632.42,1572.74
2023년12월03일,1631.71,1571.37
2023년12월04일,1629.96,1568.98
2023년12월05일,1626.70,1564.05
2023년12월06일,1623.79,1559.64
2023년12월07일,1620.78,1554.89
2023년12월08일,1617.44,1550.00
2023년12월09일,1614.50,1545.93
2023년12월10일,1613.41,1544.09
2023년12월11일,1611.22,1540.52
2023년12월12일,1606.83,1534.59
2023년12월13일,1602.56,1529.15
2023년12월14일,1599.08,1524.42
2023년12월15일,1595.98,1520.04
2023년12월16일,1593.35,1516.46
2023년12월17일,1592.50,1515.14
2023년12월18일,1590.61,1512.61
2023년12월19일,1587.97,1508.88
2023년12월20일,1586.30,1506.42
2023년12월21일,1585.23,1504.71
2023년12월22일,1584.81,1503.91
2023년12월23일,1584.02,1502.55
2023년12월24일,1583.69,1501.79
2023년12월25일,1583.53,1501.33
2023년12월26일,1582.63,1500.25
2023년12월27일,1581.89,1499.03
2023년12월28일,1581.22,1498.23
2023년12월29일,1580.53,1497.25
2023년12월30일,1579.61,1495.66
2023년12월31일,1579.31,1495.21
2024년01월01일,1578.54,1493.91
2024년01월02일,1577.46,1492.73
2024년01월03일,1575.89,1490.43
2024년01월04일,1574.52,1488.53
2024년01월05일,1573.43,1487.12
2024년01월06일,1572.33,1485.60
2024년01월07일,1572.02,1484.93
2024년01월08일,1571.71,1484.69
2024년01월09일,1570.46,1482.92
2024년01월10일,1569.02,1481.13
2024년01월11일,1567.64,1479.42
2024년01월12일,1566.47,1477.97
